HR,Height,Sex,Handedness,WidthRightThumb,EyeColor
52,64.5,F,R,12,BRN
64,68.5,M,R,21,BRN
80,67,M,R,23,BRN
76,61,F,R,11,BRN
60,70,M,R,27,BLU
72,72,M,Both,24,OTH
72,62,F,R,21,BRN
80,64,F,R,20,BRN
72,60,F,L,22,BRN
68,62,F,R,16,BRN
60,63,F,R,15,BRN
88,70.05,M,R,24,BRN
88,64,F,R,18,BRN
66,68,M,R,2,BRN
65,74,M,R,30,GRN
64,67,M,R,19.71,BRN
63,68,F,R,22,BRN
62,75,M,R,29,GRN
81,64,F,R,14,GRN
66,66,F,R,60,BRN
66,63.75,F,R,19,BLU
60,67,M,R,17,BRN
57,72,M,R,2.4,BRN
60,70,M,R,2,BRN
75,77,M,R,24,BRN
87,62,F,L,25,BRN
70,70,M,R,2,BRN
78,67,F,R,24,BLU
81,63.5,F,R,19,HZL
60,66,M,R,22,Other (BLK)
